reported_quarter,issued_on,customers_ge_100k,customers_sentence,accession,url,verified
2019Q3,2019-11-12,727,"Third Quarter & Recent Business Highlights: • As of September 30, we had 727 customers with ARR of $100,000 or more, an increase of 93% from 377 as of September 30, 2018.",0001564590-19-042935,https://www.sec.gov/Archives/edgar/data/1561550/000156459019042935/0001564590-19-042935-index.htm,
2019Q4,2020-02-13,858,"Fourth Quarter & Recent Business Highlights: • As of December 31, 2019, we had 858 customers with ARR of $100,000 or more, an increase of 89% from 453 as of December 31, 2018.",0001564590-20-004607,https://www.sec.gov/Archives/edgar/data/1561550/000156459020004607/0001564590-20-004607-index.htm,
2020Q1,2020-05-11,960,"First Quarter & Recent Business Highlights: • As of March 31, 2020, we had 960 customers with ARR of $100,000 or more, an increase of 89% from 508 as of March 31, 2019.",0001564590-20-024231,https://www.sec.gov/Archives/edgar/data/1561550/000156459020024231/0001564590-20-024231-index.htm,
2020Q2,2020-08-06,1015,"Second Quarter & Recent Business Highlights: • As of June 30, 2020, we had 1,015 customers with ARR of $100,000 or more, an increase of 71% from 594 as of June 30, 2019.",0001564590-20-037808,https://www.sec.gov/Archives/edgar/data/1561550/000156459020037808/0001564590-20-037808-index.htm,
2020Q3,2020-11-10,1107,"Third Quarter & Recent Business Highlights: • As of September 30, 2020, we had 1,107 customers with ARR of $100,000 or more, an increase of 52% from 727 as of September 30, 2019.",0001564590-20-052986,https://www.sec.gov/Archives/edgar/data/1561550/000156459020052986/0001564590-20-052986-index.htm,
2020Q4,2021-02-11,1253,"As of December 31, 2020, we had 1,253 customers with ARR of $100,000 or more, an increase of 46% from 858 as of December 31, 2019.",0001564590-21-005553,https://www.sec.gov/Archives/edgar/data/1561550/000156459021005553/0001564590-21-005553-index.htm,
2021Q1,2021-05-06,1437,"First Quarter & Recent Business Highlights: • As of March 31, 2021, we had 1,437 customers with ARR of $100,000 or more, an increase of 50% from 960 as of March 31, 2020.",0001561550-21-000004,https://www.sec.gov/Archives/edgar/data/1561550/000156155021000004/0001561550-21-000004-index.htm,
2021Q2,2021-08-05,1610,"Second Quarter & Recent Business Highlights: • As of June 30, 2021, we had 1,610 customers with ARR of $100,000 or more, an increase of 59% from 1,015 as of June 30, 2020.",0001561550-21-000015,https://www.sec.gov/Archives/edgar/data/1561550/000156155021000015/0001561550-21-000015-index.htm,
2021Q3,2021-11-04,1800,"Third Quarter & Recent Business Highlights: • As of September 30, 2021, we had 1,800 customers with ARR of $100,000 or more, an increase of 66% from 1,082 as of September 30, 2020.",0001561550-21-000024,https://www.sec.gov/Archives/edgar/data/1561550/000156155021000024/0001561550-21-000024-index.htm,
2021Q4,2022-02-10,2010,"As of December 31, 2021, we had about 2,010 customers with ARR of $100,000 or more, an increase of 63% from 1,228 as of December 31, 2020.",0001561550-22-000004,https://www.sec.gov/Archives/edgar/data/1561550/000156155022000004/0001561550-22-000004-index.htm,
2022Q1,2022-05-05,2250,"First Quarter & Recent Business Highlights: • As of March 31, 2022, we had about 2,250 customers with ARR of $100,000 or more, an increase of 60% from 1,406 as of March 31, 2021.",0001561550-22-000023,https://www.sec.gov/Archives/edgar/data/1561550/000156155022000023/0001561550-22-000023-index.htm,
2022Q2,2022-08-04,2420,"Second Quarter & Recent Business Highlights: • As of June 30, 2022, we had about 2,420 customers with ARR of $100,000 or more, an increase of 54% from 1,570 as of June 30, 2021.",0001561550-22-000033,https://www.sec.gov/Archives/edgar/data/1561550/000156155022000033/0001561550-22-000033-index.htm,
2022Q3,2022-11-03,2600,"Third Quarter & Recent Business Highlights: • As of September 30, 2022, we had about 2,600 customers with ARR of $100,000 or more, an increase of 44% from about 1,800 as of September 30, 2021.",0001561550-22-000043,https://www.sec.gov/Archives/edgar/data/1561550/000156155022000043/0001561550-22-000043-index.htm,
2022Q4,2023-02-16,2780,"As of December 31, 2022 , we had about 2,780 customers with ARR of $100,000 or more, an increase of 38% from 2,010 as of December 31, 2021.",0001561550-23-000003,https://www.sec.gov/Archives/edgar/data/1561550/000156155023000003/0001561550-23-000003-index.htm,
2023Q1,2023-05-04,2910,"First Quarter & Recent Business Highlights: • As of March 31, 2023, we had about 2,910 customers with ARR of $100,000 or more, an increase of 29% from about 2,250 as of March 31, 2022.",0001561550-23-000020,https://www.sec.gov/Archives/edgar/data/1561550/000156155023000020/0001561550-23-000020-index.htm,
