guided_quarter,reported_quarter,issued_on,guide_low_musd,guide_high_musd,guide_sentence,accession,url,verified,notes
2019Q4,2019Q3,2019-11-12,101.0,103.0,"Fourth Quarter and Full Year 2019 Outlook: Based on information as of today, November 12, 2019, Datadog is providing the following guidance for the fourth quarter and full year 2019: • Fourth Quarter 2019 Outlook: o Revenue between $101 million and $103 million.",0001564590-19-042935,https://www.sec.gov/Archives/edgar/data/1561550/000156459019042935/0001564590-19-042935-index.htm,,
2020Q1,2019Q4,2020-02-13,117.0,119.0,"First Quarter and Full Year 2020 Outlook: Based on information as of today, February 13, 2020, Datadog is providing the following guidance for the first quarter and full year 2020: • First Quarter 2020 Outlook: o Revenue between $117 million and $119 million.",0001564590-20-004607,https://www.sec.gov/Archives/edgar/data/1561550/000156459020004607/0001564590-20-004607-index.htm,,
2020Q2,2020Q1,2020-05-11,134.0,136.0,"Second Quarter and Full Year 2020 Outlook: Based on information as of today, May 11, 2020, Datadog is providing the following guidance for the second quarter and full year 2020: • Second Quarter 2020 Outlook: o Revenue between $134 million and $136 million.",0001564590-20-024231,https://www.sec.gov/Archives/edgar/data/1561550/000156459020024231/0001564590-20-024231-index.htm,,
2020Q3,2020Q2,2020-08-06,143.0,145.0,"Third Quarter and Full Year 2020 Outlook: Based on information as of today, August 6, 2020, Datadog is providing the following guidance for the third quarter and full year 2020: • Third Quarter 2020 Outlook: o Revenue between $143 million and $145 million.",0001564590-20-037808,https://www.sec.gov/Archives/edgar/data/1561550/000156459020037808/0001564590-20-037808-index.htm,,
2020Q4,2020Q3,2020-11-10,162.0,164.0,"Fourth Quarter and Full Year 2020 Outlook: Based on information as of today, November 10, 2020, Datadog is providing the following guidance for the fourth quarter and full year 2020: • Fourth Quarter 2020 Outlook: o Revenue between $162 million and $164 million.",0001564590-20-052986,https://www.sec.gov/Archives/edgar/data/1561550/000156459020052986/0001564590-20-052986-index.htm,,
2021Q1,2020Q4,2021-02-11,185.0,187.0,"First Quarter and Full Year 2021 Outlook: Based on information as of today, February 11, 2021, Datadog is providing the following guidance: • First Quarter 2021 Outlook: o Revenue between $185 million and $187 million.",0001564590-21-005553,https://www.sec.gov/Archives/edgar/data/1561550/000156459021005553/0001564590-21-005553-index.htm,,
2021Q2,2021Q1,2021-05-06,211.0,213.0,"Second Quarter and Full Year 2021 Outlook: Based on information as of today, May 6, 2021, Datadog is providing the following guidance: • Second Quarter 2021 Outlook: ◦ Revenue between $211 million and $213 million.",0001561550-21-000004,https://www.sec.gov/Archives/edgar/data/1561550/000156155021000004/0001561550-21-000004-index.htm,,
2021Q3,2021Q2,2021-08-05,246.0,248.0,"Third Quarter and Full Year 2021 Outlook: Based on information as of today, August 5, 2021, Datadog is providing the following guidance: • Third Quarter 2021 Outlook: ◦ Revenue between $246 million and $248 million.",0001561550-21-000015,https://www.sec.gov/Archives/edgar/data/1561550/000156155021000015/0001561550-21-000015-index.htm,,
2021Q4,2021Q3,2021-11-04,290.0,292.0,"Fourth Quarter and Full Year 2021 Outlook: Based on information as of today, November 4, 2021, Datadog is providing the following guidance: • Fourth Quarter 2021 Outlook: ◦ Revenue between $290 million and $292 million.",0001561550-21-000024,https://www.sec.gov/Archives/edgar/data/1561550/000156155021000024/0001561550-21-000024-index.htm,,
2022Q1,2021Q4,2022-02-10,334.0,339.0,"First Quarter and Fiscal Year 2022 Outlook: Based on information as of today, February 10, 2022, Datadog is providing the following guidance: • First Quarter 2022 Outlook: ◦ Revenue between $334 million and $339 million.",0001561550-22-000004,https://www.sec.gov/Archives/edgar/data/1561550/000156155022000004/0001561550-22-000004-index.htm,,
2022Q2,2022Q1,2022-05-05,376.0,380.0,"Second Quarter and Full Year 2022 Outlook: Based on information as of today, May 5, 2022, Datadog is providing the following guidance: • Second Quarter 2022 Outlook: ◦ Revenue between $376 million and $380 million.",0001561550-22-000023,https://www.sec.gov/Archives/edgar/data/1561550/000156155022000023/0001561550-22-000023-index.htm,,
2022Q3,2022Q2,2022-08-04,410.0,414.0,"Third Quarter and Full Year 2022 Outlook: Based on information as of today, August 4, 2022, Datadog is providing the following guidance: • Third Quarter 2022 Outlook: ◦ Revenue between $410 million and $414 million.",0001561550-22-000033,https://www.sec.gov/Archives/edgar/data/1561550/000156155022000033/0001561550-22-000033-index.htm,,
2022Q4,2022Q3,2022-11-03,445.0,449.0,"Fourth Quarter and Full Year 2022 Outlook: Based on information as of today, November 3, 2022, Datadog is providing the following guidance: • Fourth Quarter 2022 Outlook: ◦ Revenue between $445 million and $449 million.",0001561550-22-000043,https://www.sec.gov/Archives/edgar/data/1561550/000156155022000043/0001561550-22-000043-index.htm,,
2023Q1,2022Q4,2023-02-16,466.0,470.0,"First Quarter and Fiscal Year 2023 Outlook: Based on information as of today, February 16, 2023, Datadog is providing the following guidance: • First Quarter 2023 Outlook: ◦ Revenue between $466 million and $470 million.",0001561550-23-000003,https://www.sec.gov/Archives/edgar/data/1561550/000156155023000003/0001561550-23-000003-index.htm,,
2023Q2,2023Q1,2023-05-04,498.0,502.0,"Second Quarter and Full Year 2023 Outlook: Based on information as of today, May 4, 2023, Datadog is providing the following guidance: • Second Quarter 2023 Outlook: ◦ Revenue between $498 million and $502 million.",0001561550-23-000020,https://www.sec.gov/Archives/edgar/data/1561550/000156155023000020/0001561550-23-000020-index.htm,,
2023Q3,2023Q2,2023-08-08,521.0,525.0,"Third Quarter and Full Year 2023 Outlook: Based on information as of today, August 8, 2023, Datadog is providing the following guidance: • Third Quarter 2023 Outlook: ◦ Revenue between $521 million and $525 million.",0001561550-23-000035,https://www.sec.gov/Archives/edgar/data/1561550/000156155023000035/0001561550-23-000035-index.htm,,
2023Q4,2023Q3,2023-11-07,564.0,568.0,"Fourth Quarter and Full Year 2023 Outlook: Based on information as of today, November 7, 2023, Datadog is providing the following guidance: • Fourth Quarter 2023 Outlook: ◦ Revenue between $564 million and $568 million.",0001561550-23-000053,https://www.sec.gov/Archives/edgar/data/1561550/000156155023000053/0001561550-23-000053-index.htm,,
2024Q1,2023Q4,2024-02-13,587.0,591.0,"First Quarter and Fiscal Year 2024 Outlook: Based on information as of today, February 13, 2024, Datadog is providing the following guidance: • First Quarter 2024 Outlook: ◦ Revenue between $587 million and $591 million.",0001561550-24-000004,https://www.sec.gov/Archives/edgar/data/1561550/000156155024000004/0001561550-24-000004-index.htm,,
