guided_quarter,issued_on,guide_low_musd,guide_high_musd,guide_mid,anchor_found,independent_amounts_musd,machine_verified,needs_manual_check,accession,url,verified
2019Q4,2019-11-12,101.0,103.0,102.0,Fourth Quarter 2019 Outlook,"[101.0, 103.0, 350.0, 352.0]",agree,False,0001564590-19-042935,https://www.sec.gov/Archives/edgar/data/1561550/000156459019042935/0001564590-19-042935-index.htm,
2020Q1,2020-02-13,117.0,119.0,118.0,First Quarter 2020 Outlook,"[117.0, 119.0, 535.0, 545.0]",agree,False,0001564590-20-004607,https://www.sec.gov/Archives/edgar/data/1561550/000156459020004607/0001564590-20-004607-index.htm,
2020Q2,2020-05-11,134.0,136.0,135.0,Second Quarter 2020 Outlook,"[134.0, 136.0, 1.0, 0.01, 555.0, 565.0]",agree,False,0001564590-20-024231,https://www.sec.gov/Archives/edgar/data/1561550/000156459020024231/0001564590-20-024231-index.htm,
2020Q3,2020-08-06,143.0,145.0,144.0,Third Quarter 2020 Outlook,"[143.0, 145.0, 1.0, 0.01, 566.0, 572.0]",agree,False,0001564590-20-037808,https://www.sec.gov/Archives/edgar/data/1561550/000156459020037808/0001564590-20-037808-index.htm,
2020Q4,2020-11-10,162.0,164.0,163.0,Fourth Quarter 2020 Outlook,"[162.0, 164.0, 3.0, 5.0, 0.02, 588.0]",agree,False,0001564590-20-052986,https://www.sec.gov/Archives/edgar/data/1561550/000156459020052986/0001564590-20-052986-index.htm,
2021Q1,2021-02-11,185.0,187.0,186.0,First Quarter 2021 Outlook,"[185.0, 187.0, 8.0, 10.0, 0.03, 825.0]",agree,False,0001564590-21-005553,https://www.sec.gov/Archives/edgar/data/1561550/000156459021005553/0001564590-21-005553-index.htm,
2021Q2,2021-05-06,211.0,213.0,212.0,Second Quarter 2021 Outlook,"[211.0, 213.0, 9.0, 11.0, 0.04, 880.0]",agree,False,0001561550-21-000004,https://www.sec.gov/Archives/edgar/data/1561550/000156155021000004/0001561550-21-000004-index.htm,
2021Q3,2021-08-05,246.0,248.0,247.0,Third Quarter 2021 Outlook,"[246.0, 248.0, 18.0, 20.0, 0.06, 938.0]",agree,True,0001561550-21-000015,https://www.sec.gov/Archives/edgar/data/1561550/000156155021000015/0001561550-21-000015-index.htm,
2021Q4,2021-11-04,290.0,292.0,291.0,Fourth Quarter 2021 Outlook,"[290.0, 292.0, 38.0, 40.0, 0.12, 993.0]",agree,False,0001561550-21-000024,https://www.sec.gov/Archives/edgar/data/1561550/000156155021000024/0001561550-21-000024-index.htm,
2022Q1,2022-02-10,334.0,339.0,336.5,First Quarter 2022 Outlook,"[334.0, 339.0, 36.0, 41.0, 120.0, 1510.0]",agree,False,0001561550-22-000004,https://www.sec.gov/Archives/edgar/data/1561550/000156155022000004/0001561550-22-000004-index.htm,
