guided_quarter,reported_quarter,issued_on,sec_earnings_date,guide_low_musd,guide_high_musd,guide_mid,revenue_musd,range_width_pct,beat_vs_guide_pct,midpoint_yoy,midpoint_yoy_delta,n_flags,reasons,needs_manual_check,verified,guide_sentence,accession,url
2021Q3,2021Q2,2021-08-05,2021-08-05,246.0,248.0,247.0,270.488,0.8097165991902834,9.509311740890691,0.7152777777777777,0.14490740740740726,1,C_yoy_jump,True,,"Third Quarter and Full Year 2021 Outlook: Based on information as of today, August 5, 2021, Datadog is providing the following guidance: • Third Quarter 2021 Outlook: ◦ Revenue between $246 million and $248 million.",0001561550-21-000015,https://www.sec.gov/Archives/edgar/data/1561550/000156155021000015/0001561550-21-000015-index.htm
2022Q3,2022Q2,2022-08-04,2022-08-04,410.0,414.0,412.0,436.533,0.9708737864077669,5.954611650485431,0.6680161943319838,-0.11500267359254446,1,C_yoy_jump,True,,"Third Quarter and Full Year 2022 Outlook: Based on information as of today, August 4, 2022, Datadog is providing the following guidance: • Third Quarter 2022 Outlook: ◦ Revenue between $410 million and $414 million.",0001561550-22-000033,https://www.sec.gov/Archives/edgar/data/1561550/000156155022000033/0001561550-22-000033-index.htm
2022Q4,2022Q3,2022-11-03,2022-11-03,445.0,449.0,447.0,469.399,0.8948545861297539,5.010961968680094,0.5360824742268042,-0.13193372010517956,1,C_yoy_jump,True,,"Fourth Quarter and Full Year 2022 Outlook: Based on information as of today, November 3, 2022, Datadog is providing the following guidance: • Fourth Quarter 2022 Outlook: ◦ Revenue between $445 million and $449 million.",0001561550-22-000043,https://www.sec.gov/Archives/edgar/data/1561550/000156155022000043/0001561550-22-000043-index.htm
2023Q1,2022Q4,2023-02-16,2023-02-16,466.0,470.0,468.0,481.714,0.8547008547008548,2.930341880341869,0.3907875185735512,-0.145294955653253,1,C_yoy_jump,True,,"First Quarter and Fiscal Year 2023 Outlook: Based on information as of today, February 16, 2023, Datadog is providing the following guidance: • First Quarter 2023 Outlook: ◦ Revenue between $466 million and $470 million.",0001561550-23-000003,https://www.sec.gov/Archives/edgar/data/1561550/000156155023000003/0001561550-23-000003-index.htm
2024Q4,2024Q3,2024-11-07,2024-11-07,709.0,713.0,711.0,737.727,0.5625879043600562,3.759071729957797,0.2561837455830389,-0.00959063300204721,0,,True,,"Fourth Quarter and Full Year 2024 Outlook: Based on information as of today, November 7, 2024, Datadog is providing the following guidance: • Fourth Quarter 2024 Outlook: ◦ Revenue between $709 million and $713 million.",0001561550-24-000171,https://www.sec.gov/Archives/edgar/data/1561550/000156155024000171/0001561550-24-000171-index.htm
2025Q1,2024Q4,2025-02-13,2025-02-13,737.0,741.0,739.0,761.553,0.5412719891745602,3.0518267929634746,0.2546689303904923,-0.0015148151925465925,0,,True,,"First Quarter and Fiscal Year 2025 Outlook: Based on information as of today, February 13, 2025, Datadog is providing the following guidance: • First Quarter 2025 Outlook: ◦ Revenue between $737 million and $741 million.",0001561550-25-000017,https://www.sec.gov/Archives/edgar/data/1561550/000156155025000017/0001561550-25-000017-index.htm
2025Q2,2025Q1,2025-05-06,2025-05-06,787.0,791.0,789.0,826.76,0.5069708491761723,4.78580481622306,0.2684887459807075,0.013819815590215168,0,,True,,"Second Quarter and Full Year 2025 Outlook: Based on information as of today, May 6, 2025, Datadog is providing the following guidance: • Second Quarter 2025 Outlook: ◦ Revenue between $787 million and $791 million.",0001561550-25-000118,https://www.sec.gov/Archives/edgar/data/1561550/000156155025000118/0001561550-25-000118-index.htm
2025Q3,2025Q2,2025-08-07,2025-08-07,847.0,851.0,849.0,885.651,0.47114252061248524,4.3169611307420475,0.28247734138972813,0.013988595409020643,0,,True,,"Third Quarter and Full Year 2025 Outlook: Based on information as of today, August 7, 2025, Datadog is providing the following guidance: • Third Quarter 2025 Outlook: ◦ Revenue between $847 million and $851 million.",0001561550-25-000216,https://www.sec.gov/Archives/edgar/data/1561550/000156155025000216/0001561550-25-000216-index.htm
2025Q4,2025Q3,2025-11-06,2025-11-06,912.0,916.0,914.0,953.194,0.437636761487965,4.288183807439827,0.28551336146272854,0.0030360200730004117,0,,True,,"Fourth Quarter and Full Year 2025 Outlook: Based on information as of today, November 6, 2025, Datadog is providing the following guidance: • Fourth Quarter 2025 Outlook: ◦ Revenue between $912 million and $916 million.",0001561550-25-000310,https://www.sec.gov/Archives/edgar/data/1561550/000156155025000310/0001561550-25-000310-index.htm
2026Q1,2025Q4,2026-02-10,2026-02-10,951.0,961.0,956.0,1006.426,1.0460251046025104,5.274686192468625,0.29364005412719885,0.008126692664470303,0,,True,,"First Quarter and Fiscal Year 2026 Outlook: Based on information as of today, February 10, 2026, Datadog is providing the following guidance: • First Quarter 2026 Outlook: ◦ Revenue between $951 million and $961 million.",0001628280-26-006645,https://www.sec.gov/Archives/edgar/data/1561550/000162828026006645/0001628280-26-006645-index.htm
