basket,package,first_nonzero,first_nontrivial,continuous_from_sample_start,last30d_mean
dd,dd-trace,2018-02-28,2018-08-23,True,1325183.7666666666
dd,@datadog/browser-rum,2019-12-17,2020-02-24,False,843754.1
dd,@datadog/browser-logs,2019-12-17,2020-02-21,False,481330.86666666664
dd,datadog-metrics,2017-01-01,2018-10-01,True,374453.6666666667
dd,@datadog/datadog-ci,2020-03-13,2020-10-16,False,655362.9666666667
ctrl,newrelic,2017-01-01,2017-01-28,True,198399.4
ctrl,elastic-apm-node,2017-11-17,2018-10-17,True,72228.53333333334
placebo,lodash,2017-01-01,2017-01-28,True,23918827.2
placebo,chalk,2017-01-01,2017-01-28,True,70011375.46666667
placebo,axios,2017-01-01,2017-01-28,True,17175656.533333335
placebo,react,2017-01-01,2017-01-28,True,22489774.833333332
