form,filed,accn,items,primary_doc,url
8-K,2019-11-12,0001564590-19-042935,"2.02,9.01",ddog-8k_20191112.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156459019042935/0001564590-19-042935-index.htm
8-K,2020-02-13,0001564590-20-004607,"2.02,9.01",ddog-8k_20200213.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156459020004607/0001564590-20-004607-index.htm
8-K,2020-05-11,0001564590-20-024231,"2.02,8.01,9.01",ddog-8k_20200511.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156459020024231/0001564590-20-024231-index.htm
8-K,2020-08-06,0001564590-20-037808,"2.02,9.01",ddog-8k_20200806.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156459020037808/0001564590-20-037808-index.htm
8-K,2020-11-10,0001564590-20-052986,"2.02,9.01",ddog-8k_20201110.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156459020052986/0001564590-20-052986-index.htm
8-K,2021-02-11,0001564590-21-005553,"2.02,9.01",ddog-8k_20210211.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156459021005553/0001564590-21-005553-index.htm
8-K,2021-05-06,0001561550-21-000004,"2.02,9.01",ddog-20210506.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155021000004/0001561550-21-000004-index.htm
8-K,2021-08-05,0001561550-21-000015,"2.02,9.01",ddog-20210805.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155021000015/0001561550-21-000015-index.htm
8-K,2021-11-04,0001561550-21-000024,"2.02,9.01",ddog-20211104.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155021000024/0001561550-21-000024-index.htm
8-K,2022-02-10,0001561550-22-000004,"2.02,9.01",ddog-20220210.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155022000004/0001561550-22-000004-index.htm
8-K,2022-05-05,0001561550-22-000023,"2.02,9.01",ddog-20220505.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155022000023/0001561550-22-000023-index.htm
8-K,2022-08-04,0001561550-22-000033,"2.02,9.01",ddog-20220804.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155022000033/0001561550-22-000033-index.htm
8-K,2022-11-03,0001561550-22-000043,"2.02,9.01",ddog-20221103.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155022000043/0001561550-22-000043-index.htm
8-K,2023-02-16,0001561550-23-000003,"2.02,9.01",ddog-20230216.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155023000003/0001561550-23-000003-index.htm
8-K,2023-05-04,0001561550-23-000020,"2.02,9.01",ddog-20230504.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155023000020/0001561550-23-000020-index.htm
8-K,2023-08-08,0001561550-23-000035,"2.02,9.01",ddog-20230808.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155023000035/0001561550-23-000035-index.htm
8-K,2023-11-07,0001561550-23-000053,"2.02,9.01",ddog-20231107.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155023000053/0001561550-23-000053-index.htm
8-K,2024-02-13,0001561550-24-000004,"2.02,9.01",ddog-20240213.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155024000004/0001561550-24-000004-index.htm
8-K,2024-05-07,0001561550-24-000048,"2.02,5.02,9.01",ddog-20240507.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155024000048/0001561550-24-000048-index.htm
8-K,2024-08-08,0001561550-24-000109,"2.02,9.01",ddog-20240808.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155024000109/0001561550-24-000109-index.htm
8-K,2024-11-07,0001561550-24-000171,"2.02,9.01",ddog-20241107.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155024000171/0001561550-24-000171-index.htm
8-K,2025-02-13,0001561550-25-000017,"2.02,9.01",ddog-20250213.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155025000017/0001561550-25-000017-index.htm
8-K,2025-05-06,0001561550-25-000118,"2.02,9.01",ddog-20250506.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155025000118/0001561550-25-000118-index.htm
8-K,2025-08-07,0001561550-25-000216,"2.02,9.01",ddog-20250807.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155025000216/0001561550-25-000216-index.htm
8-K,2025-11-06,0001561550-25-000310,"2.02,9.01",ddog-20251106.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155025000310/0001561550-25-000310-index.htm
8-K,2026-02-10,0001628280-26-006645,2.02,ddog-20260210.htm,https://www.sec.gov/Archives/edgar/data/1561550/000162828026006645/0001628280-26-006645-index.htm
8-K,2026-05-07,0001628280-26-031677,"2.02,9.01",ddog-20260507.htm,https://www.sec.gov/Archives/edgar/data/1561550/000162828026031677/0001628280-26-031677-index.htm
8-K,2026-08-06,0001628280-26-053829,"2.02,9.01",ddog-20260806.htm,https://www.sec.gov/Archives/edgar/data/1561550/000162828026053829/0001628280-26-053829-index.htm
