quarter,start,end,revenue_musd,rev_yoy,rev_qoq,earnings_date,first_filed,known_from,known_from_reliable,report_lag_days_known,report_lag_days_filing,derived,first_form,restated,n_vintages,revenue_first_print,revenue_latest_print,rpo_total,deferred_rev_current,deferred_rev_noncurrent,earnings_accn,first_accn,earnings_url
2018Q3,2018-07-01,2018-09-30,51.074,,,2019-11-12,2019-11-13,2019-11-12,False,408,409,False,10-Q,False,1,51074000,51074000,,,,0001564590-19-042935,0001564590-19-043256,https://www.sec.gov/Archives/edgar/data/1561550/000156459019042935/0001564590-19-042935-index.htm
2019Q1,2019-01-01,2019-03-31,70.05,,,2019-11-12,2020-05-12,2019-11-12,False,226,408,False,10-Q,False,1,70050000,70050000,,,,0001564590-19-042935,0001564590-20-024662,https://www.sec.gov/Archives/edgar/data/1561550/000156459019042935/0001564590-19-042935-index.htm
2019Q2,2019-04-01,2019-06-30,83.222,,0.1880371163454675,2019-11-12,2020-08-07,2019-11-12,False,135,404,False,10-Q,False,1,83222000,83222000,,,,0001564590-19-042935,0001564590-20-038405,https://www.sec.gov/Archives/edgar/data/1561550/000156459019042935/0001564590-19-042935-index.htm
2019Q3,2019-07-01,2019-09-30,95.864,0.8769628382347183,0.15190694768210333,2019-11-12,2019-11-13,2019-11-12,True,43,44,False,10-Q,False,2,95864000,95864000,,,,0001564590-19-042935,0001564590-19-043256,https://www.sec.gov/Archives/edgar/data/1561550/000156459019042935/0001564590-19-042935-index.htm
2019Q4,2019-10-01,2019-12-31,113.644,,0.18547108403571722,2020-02-13,2020-02-25,2020-02-13,True,44,56,True,10-K,False,3,113644000,113644000,,134148000.0,4340000.0,0001564590-20-004607,0001564590-20-006422,https://www.sec.gov/Archives/edgar/data/1561550/000156459020004607/0001564590-20-004607-index.htm
2020Q1,2020-01-01,2020-03-31,131.248,0.8736331192005711,0.15490479039808536,2020-05-11,2020-05-12,2020-05-11,True,41,42,False,10-Q,False,2,131248000,131248000,,,,0001564590-20-024231,0001564590-20-024662,https://www.sec.gov/Archives/edgar/data/1561550/000156459020024231/0001564590-20-024231-index.htm
2020Q2,2020-04-01,2020-06-30,140.012,0.6823916752781716,0.06677435084725092,2020-08-06,2020-08-07,2020-08-06,True,37,38,False,10-Q,False,2,140012000,140012000,,162858000.0,2417000.0,0001564590-20-037808,0001564590-20-038405,https://www.sec.gov/Archives/edgar/data/1561550/000156459020037808/0001564590-20-037808-index.htm
2020Q3,2020-07-01,2020-09-30,154.675,0.6134836852207293,0.1047267377081964,2020-11-10,2020-11-12,2020-11-10,True,41,43,False,10-Q,False,2,154675000,154675000,,164010000.0,2444000.0,0001564590-20-052986,0001564590-20-053609,https://www.sec.gov/Archives/edgar/data/1561550/000156459020052986/0001564590-20-052986-index.htm
2020Q4,2020-10-01,2020-12-31,177.531,0.5621678223223399,0.14776790043639898,2021-02-11,2021-03-01,2021-02-11,True,42,60,True,10-K,False,3,177531000,177531000,434100000.0,204825000.0,3450000.0,0001564590-21-005553,0001564590-21-009770,https://www.sec.gov/Archives/edgar/data/1561550/000156459021005553/0001564590-21-005553-index.htm
2021Q1,2021-01-01,2021-03-31,198.549,0.5127773375594296,0.11839059093904725,2021-05-06,2021-05-07,2021-05-06,True,36,37,False,10-Q,False,2,198549000,198549000,,223647000.0,5628000.0,0001561550-21-000004,0001561550-21-000007,https://www.sec.gov/Archives/edgar/data/1561550/000156155021000004/0001561550-21-000004-index.htm
