tag,start,end,duration_days,val,form,fy,fp,filed,accn,frame,tag_rank
RevenueFromContractWithCustomerExcludingAssessedTax,2017-01-01,2017-12-31,365,100761000,10-K,2019,FY,2020-02-25,0001564590-20-006422,CY2017,0
RevenueFromContractWithCustomerExcludingAssessedTax,2018-01-01,2018-09-30,273,136467000,10-Q,2019,Q3,2019-11-13,0001564590-19-043256,,0
RevenueFromContractWithCustomerExcludingAssessedTax,2018-07-01,2018-09-30,92,51074000,10-Q,2019,Q3,2019-11-13,0001564590-19-043256,CY2018Q3,0
RevenueFromContractWithCustomerExcludingAssessedTax,2018-01-01,2018-12-31,365,198077000,10-K,2019,FY,2020-02-25,0001564590-20-006422,,0
RevenueFromContractWithCustomerExcludingAssessedTax,2018-01-01,2018-12-31,365,198077000,10-K,2020,FY,2021-03-01,0001564590-21-009770,CY2018,0
RevenueFromContractWithCustomerExcludingAssessedTax,2019-01-01,2019-03-31,90,70050000,10-Q,2020,Q1,2020-05-12,0001564590-20-024662,CY2019Q1,0
RevenueFromContractWithCustomerExcludingAssessedTax,2019-01-01,2019-06-30,181,153272000,10-Q,2020,Q2,2020-08-07,0001564590-20-038405,,0
RevenueFromContractWithCustomerExcludingAssessedTax,2019-04-01,2019-06-30,91,83222000,10-Q,2020,Q2,2020-08-07,0001564590-20-038405,CY2019Q2,0
RevenueFromContractWithCustomerExcludingAssessedTax,2019-01-01,2019-09-30,273,249136000,10-Q,2019,Q3,2019-11-13,0001564590-19-043256,,0
RevenueFromContractWithCustomerExcludingAssessedTax,2019-01-01,2019-09-30,273,249136000,10-Q,2020,Q3,2020-11-12,0001564590-20-053609,,0
RevenueFromContractWithCustomerExcludingAssessedTax,2019-07-01,2019-09-30,92,95864000,10-Q,2019,Q3,2019-11-13,0001564590-19-043256,,0
RevenueFromContractWithCustomerExcludingAssessedTax,2019-07-01,2019-09-30,92,95864000,10-Q,2020,Q3,2020-11-12,0001564590-20-053609,CY2019Q3,0
RevenueFromContractWithCustomerExcludingAssessedTax,2019-01-01,2019-12-31,365,362780000,10-K,2019,FY,2020-02-25,0001564590-20-006422,,0
RevenueFromContractWithCustomerExcludingAssessedTax,2019-01-01,2019-12-31,365,362780000,10-K,2020,FY,2021-03-01,0001564590-21-009770,,0
RevenueFromContractWithCustomerExcludingAssessedTax,2019-01-01,2019-12-31,365,362780000,10-K,2021,FY,2022-02-25,0001561550-22-000009,CY2019,0
RevenueFromContractWithCustomerExcludingAssessedTax,2020-01-01,2020-03-31,91,131248000,10-Q,2020,Q1,2020-05-12,0001564590-20-024662,,0
RevenueFromContractWithCustomerExcludingAssessedTax,2020-01-01,2020-03-31,91,131248000,10-Q,2021,Q1,2021-05-07,0001561550-21-000007,CY2020Q1,0
RevenueFromContractWithCustomerExcludingAssessedTax,2020-01-01,2020-06-30,182,271260000,10-Q,2020,Q2,2020-08-07,0001564590-20-038405,,0
RevenueFromContractWithCustomerExcludingAssessedTax,2020-01-01,2020-06-30,182,271260000,10-Q,2021,Q2,2021-08-06,0001561550-21-000018,,0
RevenueFromContractWithCustomerExcludingAssessedTax,2020-04-01,2020-06-30,91,140012000,10-Q,2020,Q2,2020-08-07,0001564590-20-038405,,0
RevenueFromContractWithCustomerExcludingAssessedTax,2020-04-01,2020-06-30,91,140012000,10-Q,2021,Q2,2021-08-06,0001561550-21-000018,CY2020Q2,0
RevenueFromContractWithCustomerExcludingAssessedTax,2020-01-01,2020-09-30,274,425935000,10-Q,2020,Q3,2020-11-12,0001564590-20-053609,,0
RevenueFromContractWithCustomerExcludingAssessedTax,2020-01-01,2020-09-30,274,425935000,10-Q,2021,Q3,2021-11-05,0001561550-21-000026,,0
RevenueFromContractWithCustomerExcludingAssessedTax,2020-07-01,2020-09-30,92,154675000,10-Q,2020,Q3,2020-11-12,0001564590-20-053609,,0
RevenueFromContractWithCustomerExcludingAssessedTax,2020-07-01,2020-09-30,92,154675000,10-Q,2021,Q3,2021-11-05,0001561550-21-000026,CY2020Q3,0
RevenueFromContractWithCustomerExcludingAssessedTax,2020-01-01,2020-12-31,366,603466000,10-K,2020,FY,2021-03-01,0001564590-21-009770,,0
RevenueFromContractWithCustomerExcludingAssessedTax,2020-01-01,2020-12-31,366,603466000,10-K,2021,FY,2022-02-25,0001561550-22-000009,,0
RevenueFromContractWithCustomerExcludingAssessedTax,2020-01-01,2020-12-31,366,603466000,10-K,2022,FY,2023-02-24,0001561550-23-000006,CY2020,0
RevenueFromContractWithCustomerExcludingAssessedTax,2021-01-01,2021-03-31,90,198549000,10-Q,2021,Q1,2021-05-07,0001561550-21-000007,,0
