quarter,feature,value,available_from,source
2018Q1,ctrl_abs_d30,0.5640229457748642,2018-01-31,npm (causal-imputed)
2018Q1,dd_abs_d30,0.6828335002868435,2018-01-31,npm (causal-imputed)
2018Q1,dd_rel_d30,0.1188105545119793,2018-01-31,npm (causal-imputed)
2018Q1,dd_rel_wide_d30,0.1188105545119793,2018-01-31,npm (causal-imputed)
2018Q1,plc_abs_d30,0.5781444671164344,2018-01-31,npm (causal-imputed)
2018Q1,plc_rel_d30,0.014121521341570187,2018-01-31,npm (causal-imputed)
2018Q1,ctrl_abs_d45,0.6332172140129586,2018-02-15,npm (causal-imputed)
2018Q1,dd_abs_d45,0.6678644486029466,2018-02-15,npm (causal-imputed)
2018Q1,dd_rel_d45,0.034647234589987974,2018-02-15,npm (causal-imputed)
2018Q1,dd_rel_wide_d45,0.034647234589987974,2018-02-15,npm (causal-imputed)
2018Q1,plc_abs_d45,0.6031587821820459,2018-02-15,npm (causal-imputed)
2018Q1,plc_rel_d45,-0.030058431830912724,2018-02-15,npm (causal-imputed)
2018Q1,ctrl_abs_d60,0.691657405624067,2018-03-02,npm (causal-imputed)
2018Q1,dd_abs_d60,0.7346792719525563,2018-03-02,npm (causal-imputed)
2018Q1,dd_rel_d60,0.04302186632848937,2018-03-02,npm (causal-imputed)
2018Q1,dd_rel_wide_d60,0.042962729773597275,2018-03-02,npm (causal-imputed)
2018Q1,plc_abs_d60,0.6207733640844957,2018-03-02,npm (causal-imputed)
2018Q1,plc_rel_d60,-0.07088404153957129,2018-03-02,npm (causal-imputed)
2018Q1,ctrl_abs_full,0.42638880726613415,2018-04-01,npm (causal-imputed)
2018Q1,dd_abs_full,0.6299266588053616,2018-04-01,npm (causal-imputed)
2018Q1,dd_rel_full,0.20353785153922743,2018-04-01,npm (causal-imputed)
2018Q1,dd_rel_wide_full,0.2030516004332732,2018-04-01,npm (causal-imputed)
2018Q1,plc_abs_full,0.6331351487913395,2018-04-01,npm (causal-imputed)
2018Q1,plc_rel_full,0.20674634152520532,2018-04-01,npm (causal-imputed)
