quarter,quarter_end,ticker,segment,peer_earnings_date,ddog_earnings_date,lead_days,peer_accn
2019Q3,2019-09-30,AMZN,AWS,2019-10-24,2019-11-12,19,0001018724-19-000087
2019Q3,2019-09-30,GOOGL,Google Cloud,2019-10-28,2019-11-12,15,0001652044-19-000030
2019Q3,2019-09-30,MSFT,Azure / Intelligent Cloud,2019-10-23,2019-11-12,20,0001193125-19-272562
2019Q4,2019-12-31,AMZN,AWS,2020-01-30,2020-02-13,14,0001018724-20-000002
2019Q4,2019-12-31,GOOGL,Google Cloud,2020-02-03,2020-02-13,10,0001652044-20-000004
2019Q4,2019-12-31,MSFT,Azure / Intelligent Cloud,2020-01-29,2020-02-13,15,0001193125-20-018383
2020Q1,2020-03-31,AMZN,AWS,2020-04-30,2020-05-11,11,0001018724-20-000008
2020Q1,2020-03-31,GOOGL,Google Cloud,2020-04-28,2020-05-11,13,0001652044-20-000018
2020Q1,2020-03-31,MSFT,Azure / Intelligent Cloud,2020-04-29,2020-05-11,12,0001193125-20-126089
2020Q2,2020-06-30,AMZN,AWS,2020-07-30,2020-08-06,7,0001018724-20-000019
2020Q2,2020-06-30,GOOGL,Google Cloud,2020-07-30,2020-08-06,7,0001652044-20-000031
2020Q2,2020-06-30,MSFT,Azure / Intelligent Cloud,2020-07-22,2020-08-06,15,0001193125-20-197109
2020Q3,2020-09-30,AMZN,AWS,2020-10-29,2020-11-10,12,0001018724-20-000028
2020Q3,2020-09-30,GOOGL,Google Cloud,2020-10-29,2020-11-10,12,0001652044-20-000046
2020Q3,2020-09-30,MSFT,Azure / Intelligent Cloud,2020-10-27,2020-11-10,14,0001193125-20-278410
2020Q4,2020-12-31,AMZN,AWS,2021-02-02,2021-02-11,9,0001018724-21-000002
2020Q4,2020-12-31,GOOGL,Google Cloud,2021-02-02,2021-02-11,9,0001652044-21-000006
2020Q4,2020-12-31,MSFT,Azure / Intelligent Cloud,2021-01-26,2021-02-11,16,0001193125-21-017683
2021Q1,2021-03-31,AMZN,AWS,2021-04-29,2021-05-06,7,0001018724-21-000008
2021Q1,2021-03-31,GOOGL,Google Cloud,2021-04-27,2021-05-06,9,0001652044-21-000018
2021Q1,2021-03-31,MSFT,Azure / Intelligent Cloud,2021-04-27,2021-05-06,9,0001193125-21-134213
2021Q2,2021-06-30,AMZN,AWS,2021-07-29,2021-08-05,7,0001018724-21-000018
2021Q2,2021-06-30,GOOGL,Google Cloud,2021-07-27,2021-08-05,9,0001652044-21-000041
2021Q2,2021-06-30,MSFT,Azure / Intelligent Cloud,2021-07-27,2021-08-05,9,0001193125-21-225746
2021Q3,2021-09-30,AMZN,AWS,2021-10-28,2021-11-04,7,0001018724-21-000026
2021Q3,2021-09-30,GOOGL,Google Cloud,2021-10-26,2021-11-04,9,0001652044-21-000054
2021Q3,2021-09-30,MSFT,Azure / Intelligent Cloud,2021-10-26,2021-11-04,9,0001193125-21-307941
2021Q4,2021-12-31,AMZN,AWS,2022-02-03,2022-02-10,7,0001018724-22-000002
