date,package,raw,imputed,mode
2018-05-26,@datadog/browser-logs,0.0,0.0,causal
2018-05-27,@datadog/browser-logs,0.0,0.0,causal
2020-06-22,@datadog/browser-logs,0.0,4585.0,causal
2022-05-08,@datadog/browser-logs,6811.0,8839.0,causal
2022-07-22,@datadog/browser-logs,0.0,91320.0,causal
2023-11-03,@datadog/browser-logs,0.0,118631.0,causal
2025-10-21,@datadog/browser-logs,0.0,294161.5,causal
2026-06-03,@datadog/browser-logs,0.0,564126.5,causal
2026-07-09,@datadog/browser-logs,0.0,592359.0,causal
2026-07-12,@datadog/browser-logs,0.0,95361.5,causal
2026-07-26,@datadog/browser-logs,0.0,99269.0,causal
2026-08-14,@datadog/browser-logs,0.0,534069.5,causal
2026-08-16,@datadog/browser-logs,0.0,104393.5,causal
2018-05-26,@datadog/browser-rum,0.0,0.0,causal
2018-05-27,@datadog/browser-rum,0.0,0.0,causal
2020-06-22,@datadog/browser-rum,0.0,5705.0,causal
2022-05-08,@datadog/browser-rum,12113.0,13005.5,causal
2022-07-22,@datadog/browser-rum,0.0,148997.0,causal
2023-11-03,@datadog/browser-rum,0.0,228268.0,causal
2025-10-21,@datadog/browser-rum,548883.0,503015.0,causal
2026-06-03,@datadog/browser-rum,954350.0,898918.5,causal
2026-07-09,@datadog/browser-rum,1109857.0,976338.0,causal
2026-07-12,@datadog/browser-rum,0.0,170271.5,causal
2026-07-26,@datadog/browser-rum,209445.0,174321.0,causal
2026-08-14,@datadog/browser-rum,0.0,984238.5,causal
2026-08-16,@datadog/browser-rum,0.0,194189.5,causal
2018-05-26,@datadog/datadog-ci,0.0,0.0,causal
2018-05-27,@datadog/datadog-ci,0.0,0.0,causal
2020-06-22,@datadog/datadog-ci,0.0,1.0,causal
2022-05-08,@datadog/datadog-ci,5271.0,6917.0,causal
2022-07-22,@datadog/datadog-ci,0.0,82631.0,causal
2023-11-03,@datadog/datadog-ci,0.0,128067.5,causal
2025-10-21,@datadog/datadog-ci,0.0,342166.5,causal
2026-06-03,@datadog/datadog-ci,0.0,800622.0,causal
2026-07-09,@datadog/datadog-ci,850003.0,856889.0,causal
2026-07-12,@datadog/datadog-ci,0.0,185176.5,causal
2026-07-26,@datadog/datadog-ci,148776.0,208040.0,causal
2026-08-14,@datadog/datadog-ci,0.0,743238.5,causal
2026-08-16,@datadog/datadog-ci,0.0,127084.5,causal
2018-05-26,@opentelemetry/api,0.0,0.0,causal
2018-05-27,@opentelemetry/api,0.0,0.0,causal
2020-06-22,@opentelemetry/api,0.0,10853.0,causal
2022-05-08,@opentelemetry/api,140824.0,128241.0,causal
2022-07-22,@opentelemetry/api,0.0,656028.5,causal
2023-11-03,@opentelemetry/api,0.0,1047434.5,causal
2025-10-21,@opentelemetry/api,0.0,4349351.5,causal
2026-06-03,@opentelemetry/api,0.0,9978946.5,causal
2026-07-09,@opentelemetry/api,0.0,10864136.5,causal
2026-07-12,@opentelemetry/api,0.0,4271384.0,causal
2026-07-26,@opentelemetry/api,5130146.0,4516665.0,causal
2026-08-14,@opentelemetry/api,0.0,10787227.5,causal
2026-08-16,@opentelemetry/api,0.0,5175194.5,causal
2018-05-26,@sentry/node,33.0,54.0,causal
2018-05-27,@sentry/node,23.0,31.5,causal
2020-06-22,@sentry/node,0.0,150506.5,causal
2022-05-08,@sentry/node,80872.0,103318.5,causal
2022-07-22,@sentry/node,0.0,459021.5,causal
2023-11-03,@sentry/node,0.0,791633.5,causal
2025-10-21,@sentry/node,0.0,1819093.5,causal
2026-06-03,@sentry/node,0.0,4179638.5,causal
2026-07-09,@sentry/node,0.0,4535928.0,causal
2026-07-12,@sentry/node,0.0,1768187.5,causal
2026-07-26,@sentry/node,2278995.0,1803646.0,causal
2026-08-14,@sentry/node,0.0,4560761.0,causal
2026-08-16,@sentry/node,0.0,2260651.5,causal
2018-05-26,axios,27624.0,108857.5,causal
2018-05-27,axios,27771.0,93193.0,causal
2020-06-22,axios,0.0,1727916.0,causal
2022-05-08,axios,1070788.0,1422197.5,causal
2022-07-22,axios,0.0,4696848.5,causal
2023-11-03,axios,0.0,7866673.5,causal
2025-10-21,axios,0.0,12682422.5,causal
2026-06-03,axios,0.0,19325291.5,causal
2026-07-09,axios,0.0,20396249.5,causal
2026-07-12,axios,0.0,7860783.0,causal
2026-07-26,axios,0.0,7870292.0,causal
2026-08-14,axios,0.0,17995163.5,causal
2026-08-16,axios,0.0,8142519.0,causal
2018-05-26,chalk,167652.0,770342.0,causal
2018-05-27,chalk,185193.0,720921.0,causal
2020-06-22,chalk,0.0,8164007.0,causal
2022-05-08,chalk,5551339.0,8535797.5,causal
2022-07-22,chalk,0.0,29072352.0,causal
2023-11-03,chalk,0.0,44109437.5,causal
2025-10-21,chalk,0.0,60693180.5,causal
2026-06-03,chalk,0.0,76631921.5,causal
2026-07-09,chalk,0.0,75872112.0,causal
2026-07-12,chalk,0.0,30005735.0,causal
2026-07-26,chalk,0.0,31552707.0,causal
2026-08-14,chalk,0.0,74077334.5,causal
2026-08-16,chalk,0.0,35979035.5,causal
2018-05-26,datadog-metrics,34.0,158.5,causal
2018-05-27,datadog-metrics,18.0,92.5,causal
2020-06-22,datadog-metrics,0.0,5807.5,causal
2022-05-08,datadog-metrics,7222.0,11969.5,causal
2022-07-22,datadog-metrics,0.0,100560.0,causal
2023-11-03,datadog-metrics,0.0,156654.5,causal
2025-10-21,datadog-metrics,438805.0,375961.0,causal
2026-06-03,datadog-metrics,468959.0,507764.0,causal
2026-07-09,datadog-metrics,493110.0,452198.0,causal
2026-07-12,datadog-metrics,0.0,84999.0,causal
2026-07-26,datadog-metrics,92253.0,86723.0,causal
2026-08-14,datadog-metrics,0.0,417333.5,causal
2026-08-16,datadog-metrics,0.0,90966.0,causal
2018-05-26,dd-trace,3.0,3.5,causal
2018-05-27,dd-trace,2.0,1.5,causal
2020-06-22,dd-trace,0.0,41750.0,causal
2022-05-08,dd-trace,35734.0,43644.5,causal
2022-07-22,dd-trace,0.0,230442.0,causal
2023-11-03,dd-trace,0.0,382259.5,causal
2025-10-21,dd-trace,873351.0,756862.0,causal
2026-06-03,dd-trace,0.0,1452604.0,causal
2026-07-09,dd-trace,1632398.0,1520334.5,causal
2026-07-12,dd-trace,0.0,260475.5,causal
2026-07-26,dd-trace,332545.0,267533.0,causal
2026-08-14,dd-trace,0.0,1534170.0,causal
2026-08-16,dd-trace,0.0,314481.5,causal
2018-05-26,elastic-apm-node,37.0,75.0,causal
2018-05-27,elastic-apm-node,11.0,116.5,causal
2020-06-22,elastic-apm-node,0.0,15634.5,causal
2022-05-08,elastic-apm-node,4976.0,7058.5,causal
2022-07-22,elastic-apm-node,0.0,36911.0,causal
2023-11-03,elastic-apm-node,0.0,43895.0,causal
2025-10-21,elastic-apm-node,72931.0,75565.0,causal
2026-06-03,elastic-apm-node,81697.0,84557.5,causal
2026-07-09,elastic-apm-node,79080.0,86558.5,causal
2026-07-12,elastic-apm-node,0.0,20711.0,causal
2026-07-26,elastic-apm-node,20533.0,21268.0,causal
2026-08-14,elastic-apm-node,0.0,74083.0,causal
2026-08-16,elastic-apm-node,0.0,22525.5,causal
2018-05-26,lodash,165059.0,842140.5,causal
2018-05-27,lodash,173704.0,774984.5,causal
2020-06-22,lodash,0.0,4662469.5,causal
2022-05-08,lodash,1660336.0,2258758.0,causal
2022-07-22,lodash,0.0,6905241.5,causal
2023-11-03,lodash,0.0,8078250.0,causal
2025-10-21,lodash,0.0,13804634.0,causal
2026-06-03,lodash,0.0,26731423.0,causal
2026-07-09,lodash,0.0,26984239.0,causal
2026-07-12,lodash,0.0,12073178.0,causal
2026-07-26,lodash,12858745.0,12230555.0,causal
2026-08-14,lodash,0.0,24928147.5,causal
2026-08-16,lodash,0.0,13277656.5,causal
2018-05-26,newrelic,1661.0,18633.0,causal
2018-05-27,newrelic,1446.0,16533.0,causal
2020-06-22,newrelic,0.0,105137.0,causal
2022-05-08,newrelic,19433.0,26066.0,causal
2022-07-22,newrelic,0.0,112141.5,causal
2023-11-03,newrelic,0.0,134282.5,causal
