target,baseline,n_oos,rmse,mae,mape_%,hit
rev_yoy,AR(1),13,0.030940058486234566,0.020893133474953293,7.46656139921756,0.38461538461538464
rev_yoy,AR(1)+trend,13,0.037941281298976844,0.03501124993520922,12.56534053427405,0.46153846153846156
rev_yoy,random walk,13,0.02630712181080652,0.016988680118554485,6.027639105809595,0.0
rev_yoy,"ARIMA(1,1,0)",13,0.02198585937821793,0.01569266157220854,5.589345023666606,0.6153846153846154
rev_yoy,guidance + mean beat,13,0.030579447570569247,0.026985587442201454,10.186550127132223,0.6153846153846154
rev_yoy,guidance + trailing beat (8q),13,0.02289424416623511,0.014494765496398138,5.479873673418931,0.6923076923076923
beat_vs_guide,AR(1),14,0.018329117050460936,0.014037504151436179,45.7634533464839,0.2857142857142857
beat_vs_guide,AR(1)+trend,14,0.016431115607698447,0.011970433697978313,35.93828880670043,0.6428571428571429
beat_vs_guide,random walk,14,0.011874735244577425,0.009077322415590481,24.658876289917796,0.0
beat_vs_guide,"ARIMA(1,1,0)",14,0.011874735244577425,0.009077322415590481,24.658876289917796,0.0
beat_vs_guide,guidance + mean beat,14,0.029772570765260326,0.02661779223194281,81.60840550793554,0.2857142857142857
beat_vs_guide,guidance + trailing beat (8q),14,0.022679768601611184,0.014691190038783246,50.4274182225861,0.5714285714285714
